Sub,AgeAtTestingCalculated,Sex,TwinType,FA_A,FA_B,SC_A,SC_B
01876,44,2,3,NA,3.915,NA,6.279999999999999
01880,47,2,3,4.779999999999999,4.785,5.77,5.43
01882,21,2,3,3.795,5.09,4.56,5.89
01898,21,2,3,4.47,3.475,5.46,5.3
01911,28,2,3,3.31,NA,5.9399999999999995,NA
01931,44,2,1,1.875,NA,4.77,NA
01937,40,2,1,4.205,2.955,4.2,4.92
01961,45,2,1,NA,5.0649999999999995,3.94,5.93
01970,45,2,1,NA,4.87,NA,3.9400000000000004
01986,41,2,1,NA,4.585,NA,4.46
01989,29,2,1,2,4.77,4.89,5.16
01999,31,2,1,2.21,4.715,5.0600000000000005,5.01
02000,47,2,1,3.3800000000000003,3.49,5.43,5.65
02009,45,1,3,4.33,4.39,5.59,5.41
02036,42,1,3,3.95,4.63,5.9399999999999995,5.08
02063,40,2,3,6.33,5.41,5.26,4.84
02068,40,2,3,5.335,4.645,5.68,5.39
02070,50,2,3,4.425,NA,5,5.9399999999999995
02089,22,2,3,4.84,4.02,6.21,6.25
02099,45,2,3,NA,4.244999999999999,NA,5.15
02111,48,2,3,NA,5.86,6.84,5.66
02113,46,2,3,NA,2.34,NA,4.4
02122,42,2,3,NA,3.9249999999999994,NA,4.74
02123,47,2,3,4.380000000000001,NA,4.779999999999999,NA
02123,46,2,3,NA,3.695,NA,5.08
02124,23,2,3,4.61,NA,3.8600000000000003,NA
02127,51,2,3,NA,5.805,NA,5.32
02129,42,2,3,NA,3.2649999999999997,NA,5.02
02131,33,2,3,4.425,NA,5.790000000000001,NA
02132,33,2,3,2.26,3.2199999999999998,5.239999999999999,5.92
02135,45,2,3,4.595000000000001,4.45,5.96,5.89
02138,46,2,3,4.635,3.34,5.33,5.33
02152,24,2,1,4.79,4.41,5.57,4.34
02156,39,2,1,NA,5.56,NA,5.010000000000001
02160,41,2,1,3.705,4.085,5.1899999999999995,5.130000000000001
02182,46,2,1,5.630000000000001,4.8100000000000005,5.26,6.27
02186,51,2,1,NA,NA,5.51,NA
02210,29,2,1,5.33,5.745,5.85,6.36
02211,26,2,1,3.795,5.6899999999999995,5.279999999999999,5.75
02228,43,2,1,3.9150000000000005,5.545,4.27,5.7
02229,18,2,1,NA,1.415,NA,4.38
02243,50,2,1,5.13,3.4799999999999995,4.59,3.27
02247,46,2,1,5.24,4.665,5.03,5.34
02255,47,2,1,4.805,4.93,4.5,5.41
02268,45,2,1,NA,4.98,NA,5.04
02270,29,2,1,3.75,3.07,5.48,4.970000000000001
02277,38,2,1,5.16,NA,4.5600000000000005,NA
02284,48,2,1,NA,5.525,NA,4.91
02288,23,2,1,NA,3.1650000000000005,NA,6.029999999999999
02294,32,2,1,2.585,2.6900000000000004,4.47,5.71
02295,23,2,1,4.655,3.465,5.3100000000000005,5
02296,38,2,1,4.5,4.54,5.98,5.11
02303,38,2,1,3.46,3.945,3.34,4.08
02308,49,2,1,4.6899999999999995,5.825,4.89,6.27
02310,27,2,1,NA,2.85,NA,4.4
02312,39,2,1,2.425,4.470000000000001,4.14,5.68
02315,34,2,1,4.225,NA,5.43,NA
02322,34,2,1,NA,2.425,4.529999999999999,5.05
02330,30,2,1,5.825,5.285,4.96,6.47
02337,23,2,1,2.6,4.205,4.94,5.39
02340,44,2,1,5.26,NA,4.96,NA
02342,41,2,1,3.1550000000000002,3.294999999999999,4.98,5.49
02349,29,2,1,4.995,4.645,4.68,5.34
02351,44,2,1,6.14,5.775,5.61,5.51
02362,50,2,1,6.45,4.36,5.14,4.2
02363,33,2,1,2.665,2.915,5.34,4.46
02380,48,2,1,4.86,5.43,6.25,4.66
02385,47,2,1,4.095,5.205,4.16,3.96
02387,48,2,1,4.4399999999999995,4.585,4,5.07
02394,31,2,1,4.45,4.625,4.82,5.23
02397,41,2,1,4.16,4.369999999999999,4.85,4.85
02398,31,2,1,3.285,3.7350000000000003,5.03,4.34
02410,40,2,1,5.495,3.9850000000000003,5.85,3.7800000000000002
02425,48,2,1,5.0600000000000005,6.38,5.09,5.16
02433,29,2,1,4.645,4.26,4.6899999999999995,5.1899999999999995
02438,42,2,1,4.529999999999999,4.225,4.3100000000000005,4.779999999999999
02467,39,2,1,3.915,NA,4.8,NA
02468,45,2,1,4.19,NA,4.9,NA
02471,48,2,1,4.825,2.2550000000000003,5.11,4.4399999999999995
