Sub,AgeAtTestingCalculated,Sex,TwinType,FA_A,FA_B,SC_A,SC_B
00307,29,2,1,-0.21697670690002643,0.36016693322843085,-0.19132048687648603,0.10616698196256527
00310,37,2,1,0.029800752148716726,0.15131081610381503,0.304034071381587,0.0954494739014397
00313,36,2,3,-0.30012168586093185,0.05701564500628683,-0.23122992956220387,-0.04948808616886673
00327,44,2,3,NA,-0.020893789557629154,NA,-0.37443089405663643
00331,38,2,3,NA,0.4014559006573154,NA,0.23187388152667282
00352,48,2,3,0.04970667850113899,0.05209113332265401,-0.014164252635608304,0.014916805866019595
00359,49,2,3,0.17354589595821315,-0.12120326721042264,0.08645990198021161,-0.5733658304879616
00360,49,2,3,0.25319342505021286,NA,-0.16565752843055442,NA
00362,22,2,3,NA,-0.4679771685093369,NA,-0.22313974326257724
00364,25,2,3,-0.03631962467249529,0.06241816698271147,-0.12365388552383343,-0.27002032203903475
00379,36,1,1,-0.22180253720756885,-0.17363585048736788,-0.39772735477067395,-0.4046758809056138
00394,28,1,1,0.03719263919775522,-0.093993286076045,-0.14971069145001087,-0.18912941628526722
00395,27,1,1,NA,-0.44530048874985245,NA,0.18357499836879668
00407,24,1,1,-0.12963973047991662,-0.613427956404012,-0.28424819436927595,-0.15467438662147337
00422,29,1,1,-0.04299333471157031,NA,-0.003429609481950954,NA
00430,26,1,1,-0.2682601935971452,NA,-0.3418096248231918,NA
00443,41,1,3,NA,0.2982912553846727,NA,0.3705730864672123
00450,37,1,3,NA,-0.5564098361923435,-0.43501313387125945,-0.3419308288505425
00467,49,1,3,0.16479640834329903,-0.18867115916481073,0.29712494793214467,0.1984443973869149
00473,36,1,3,-0.3089615918911946,-0.14697673085941268,0.011653440979554102,0.37141472547819365
00478,43,1,3,-0.4188130392666627,NA,0.118836251887845,NA
00500,45,1,3,-0.014156420881279259,0.08464352059170936,0.2457766030250641,0.1550011241002062
00505,49,2,1,-0.13734091388447306,NA,-0.30081708868363805,NA
00545,49,2,1,-0.2706738997754459,-0.11578803311584061,0.14441339930244504,0.3563637147320202
00550,38,2,1,-0.0014996102547256056,-0.015814244785649665,0.12067365814666078,-0.03984511965354676
00561,38,2,1,-0.04060674553298322,-0.031932415436082585,-0.06503191738543129,0.08091661941470346
00575,33,2,3,NA,-0.033716906252814816,NA,-0.5046917010336668
00576,37,2,3,NA,0.08735795700427626,NA,-0.004433706582667395
00579,26,2,3,NA,-0.4566421456170895,NA,-0.034581860510503104
00585,35,2,3,NA,-0.46718840240977044,NA,-0.07159744021834778
00613,37,2,3,0.07866333700540372,0.15692526972477897,0.14885705591127885,0.07729291243207356
00617,50,2,3,0.07125393579624668,0.021602829565204294,0.47970098445609904,0.07976876350308826
00619,32,2,3,NA,0.12399413748366446,NA,0.19070433024993802
00621,44,2,3,0.11938757431640545,0.13613904864152462,0.07124548922734915,0.2818446672663097
00630,46,1,1,-0.1178971929513379,0.47909279962526286,0.22088407015884226,0.23191550133493574
00679,28,1,1,0.036860826120893656,-0.07570972672377287,-0.2730313150054521,-0.3708665920363031
00681,42,1,1,0.24408003845305837,-0.04426242770655889,0.12126059440381246,-0.021101959781574746
00684,22,1,1,-0.10550210837345592,-0.06574613325286328,-0.09353099878688376,-0.3299773494662122
00698,46,1,3,0.15535121645632716,0.3053713555391172,0.2898169908643292,0.015474214032501769
00711,45,1,3,-0.28353377890889186,-0.13008397899735988,0.30324443167812026,-0.660466025675931
00714,42,1,3,-0.21111850698761545,NA,-0.1792302188441051,NA
00726,49,1,3,0.07805854066683586,-0.023602596458681794,0.3217487973492529,0.010184004480576566
00728,25,1,3,-0.23584523761461662,-0.2811641067864772,-0.22309678856118192,-0.163701643954794
00729,43,1,3,0.1697163653214073,0.32091354734372846,-0.08875762585004912,0.5450477436013945
00751,39,2,1,NA,-0.013619930857889496,NA,0.23824857607482552
00769,44,2,1,NA,0.36471576622944185,NA,0.07091606384503168
00773,39,2,1,0.28472231808162884,0.16096387851389918,0.024313930487095348,0.2913069526152873
00777,42,2,1,-0.1790584570151746,-0.14405870765610274,-0.5133265078975919,-0.34385788704411785
00791,32,2,1,-0.16475797359920435,0.027601505263528465,-0.11329075703871118,0.12413956531904183
00811,46,2,1,NA,NA,NA,-0.455070166921712
00826,41,2,3,-0.369912105971727,NA,-0.07308289270508232,NA
00840,43,2,3,NA,0.23206509437981962,NA,0.04723894777390286
00842,38,2,3,0.0741315156710336,-0.025795316051672987,0.15031501680072876,-0.19804373692095104
00858,29,2,3,-0.14255789300371502,NA,-0.04763135629787865,NA
00870,37,2,3,0.008762147491996638,0.389004546257122,-0.3606083140493196,-0.12007086351068029
00873,43,2,3,NA,0.23389498232046055,NA,-0.034290906784386725
00904,50,1,1,0.016081840140715366,NA,-0.10760043205522299,NA
00934,49,1,1,0.014583928942509455,0.05378217873540521,-4.919510078227754e-4,-0.16795708393241646
00971,28,1,3,NA,-0.18926734245191904,NA,-0.009421341208394555
